id,created_at,input_json,output_json,finance_health_score,predicted_debt_score,predicted_investment_score,predicted_days_to_clear_debt
1,2026-01-09T14:28:50.110702,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 15000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000, ""Total_Expenses"": 34463.65, ""Investment"": 15000, ""Total_Outflow"": 49463.65, ""Actual_Savings"": 150536.35, ""Savings_Rate"": 0.753, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.79, ""Predicted_Investment_Score"": 91.15, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 15000}}",84.0,100.0,91.15,
2,2026-01-09T14:33:09.894190,"{""income"": 20000000000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000000000, ""Total_Expenses"": 34463.65, ""Investment"": 150, ""Total_Outflow"": 34613.65, ""Actual_Savings"": 19999965386.35, ""Savings_Rate"": 1.0, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.99, ""Predicted_Investment_Score"": 36.13, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 150}}",84.0,100.0,36.13,
3,2026-01-09T15:20:47.455744,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000, ""Total_Expenses"": 34463.65, ""Investment"": 1500000, ""Total_Outflow"": 1534463.65, ""Actual_Savings"": -1334463.65, ""Savings_Rate"": -6.672, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 405.55, ""Predicted_Investment_Score"": 0.26, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500000}}",84.0,100.0,0.26,
4,2026-01-09T15:24:14.169027,"{""income"": 50000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 100000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 50000, ""Total_Expenses"": 34463.65, ""Investment"": 100000, ""Total_Outflow"": 134463.65, ""Actual_Savings"": -84463.65, ""Savings_Rate"": -1.689, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 405.55, ""Predicted_Investment_Score"": 0.36, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 100000}}",84.0,100.0,0.36,
5,2026-01-09T16:04:02.185995,"{""income"": 50000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 100000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 50000, ""Total_Expenses"": 34463.65, ""Investment"": 100000, ""Total_Outflow"": 134463.65, ""Actual_Savings"": -84463.65, ""Savings_Rate"": -1.689, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 384.48, ""Predicted_Investment_Score"": 0.46, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 100000}}",84.0,100.0,0.46,
6,2026-01-09T16:38:58.111359,"{""income"": 50000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 50000, ""Total_Expenses"": 34463.65, ""Investment"": 1500000, ""Total_Outflow"": 1534463.65, ""Actual_Savings"": -1484463.65, ""Savings_Rate"": -29.689, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 405.55, ""Predicted_Investment_Score"": 0.8, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500000}}",84.0,100.0,0.8,
7,2026-01-09T16:47:12.378211,"{""income"": 20000000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000000, ""Total_Expenses"": 34463.65, ""Investment"": 1500, ""Total_Outflow"": 35963.65, ""Actual_Savings"": 19964036.35, ""Savings_Rate"": 0.998, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.93, ""Predicted_Investment_Score"": 35.06, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500}}",84.0,100.0,35.06,
8,2026-01-09T18:27:33.872734,"{""income"": 20000000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000000, ""Total_Expenses"": 34463.65, ""Investment"": 1500, ""Total_Outflow"": 35963.65, ""Actual_Savings"": 19964036.35, ""Savings_Rate"": 0.998, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.91, ""Predicted_Investment_Score"": 35.33, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500}}",84.0,100.0,35.33,
9,2026-01-09T18:43:31.095245,"{""income"": 20000000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000000, ""Total_Expenses"": 34463.65, ""Investment"": 1500, ""Total_Outflow"": 35963.65, ""Actual_Savings"": 19964036.35, ""Savings_Rate"": 0.998, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.99, ""Predicted_Investment_Score"": 35.94, ""Finance_Health_Score"": 84.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500}}",84.0,100.0,35.94,
10,2026-01-09T18:48:44.302406,"{""income"": 20000000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 1500, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000000, ""Total_Expenses"": 34463.65, ""Investment"": 1500, ""Total_Outflow"": 35963.65, ""Actual_Savings"": 19964036.35, ""Savings_Rate"": 0.998, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 1.89, ""Predicted_Investment_Score"": 35.82, ""Finance_Health_Score"": 77.56, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 1500}}",77.56,100.0,35.82,
11,2026-01-09T18:50:54.918667,"{""income"": 20000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000, ""Total_Expenses"": 34463.65, ""Investment"": 150, ""Total_Outflow"": 34613.65, ""Actual_Savings"": -14613.65, ""Savings_Rate"": -0.731, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 384.83, ""Predicted_Investment_Score"": 0.26, ""Finance_Health_Score"": -49.97, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 20121.44, ""Debt Spend"": 2049.8, ""Investment"": 150}}",-49.97,100.0,0.26,
12,2026-01-09T19:16:29.896025+00:00,"{""income"": 20000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 0, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000.0, ""Total_Expenses"": 22000.0, ""Investment"": 150.0, ""Total_Outflow"": 22150.0, ""Actual_Savings"": -2150.0, ""Savings_Rate"": -0.107, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 3650.0, ""Predicted_Investment_Score"": 0.08, ""Finance_Health_Score"": 33.35, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 0.0, ""Investment"": 150.0}}",33.35,100.0,0.08,3650.0
13,2026-01-09T19:27:47.947095+00:00,"{""income"": 20000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 1000000000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 20000.0, ""Total_Expenses"": 1000022000.0, ""Investment"": 150.0, ""Total_Outflow"": 1000022150.0, ""Actual_Savings"": -1000002150.0, ""Savings_Rate"": -50000.107, ""Predicted_Debt_Score"": 51.66, ""Predicted_Days_To_Clear_Debt"": 3650.0, ""Predicted_Investment_Score"": 0.08, ""Finance_Health_Score"": 13.35, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 1000000000.0, ""Investment"": 150.0}}",13.35,51.66,0.08,3650.0
14,2026-01-09T20:46:57.585274+00:00,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 1000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000.0, ""Total_Expenses"": 23000.0, ""Investment"": 150.0, ""Total_Outflow"": 23150.0, ""Actual_Savings"": 176850.0, ""Savings_Rate"": 0.884, ""Predicted_Debt_Score"": 82.31, ""Predicted_Days_To_Clear_Debt"": 71.04, ""Predicted_Investment_Score"": 50.41, ""Finance_Health_Score"": 75.74, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 1000.0, ""Investment"": 150.0}}",75.74,82.31,50.41,71.04
15,2026-01-10T01:49:34.745205,"{""income"": 50000.0, ""rent"": 15000.0, ""groceries"": 5000.0, ""transport"": 2000.0, ""entertainment"": 3000.0, ""investment"": 10000.0, ""timely_loan_repayment"": 1.0, ""goal_achievement"": 1.0, ""override_loan_repayment"": null}","{""Income"": 50000.0, ""Total_Expenses"": 37463.65, ""Investment"": 10000.0, ""Total_Outflow"": 47463.65, ""Actual_Savings"": 2536.35, ""Savings_Rate"": 0.051, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 28.23, ""Predicted_Investment_Score"": 14.07, ""Finance_Health_Score"": 1.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 23121.44, ""Debt Spend"": 2049.8, ""Investment"": 10000.0}, ""Model_Metrics"": {""debt_r2"": 1.0, ""days_r2"": 0.913923347839316, ""investment_r2"": 0.995842557380836, ""trained_rows"": 20000}}",1.0,100.0,14.07,
16,2026-01-10T01:57:46.342375+00:00,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 1000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000.0, ""Total_Expenses"": 23000.0, ""Investment"": 150.0, ""Total_Outflow"": 23150.0, ""Actual_Savings"": 176850.0, ""Savings_Rate"": 0.884, ""Predicted_Debt_Score"": 82.31, ""Predicted_Days_To_Clear_Debt"": 71.04, ""Predicted_Investment_Score"": 50.41, ""Finance_Health_Score"": 75.74, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 1000.0, ""Investment"": 150.0}}",75.74,82.31,50.41,71.04
17,2026-01-10T02:29:41.847732,"{""income"": 50000.0, ""rent"": 15000.0, ""groceries"": 5000.0, ""transport"": 2000.0, ""entertainment"": 3000.0, ""investment"": 10000.0, ""timely_loan_repayment"": 1.0, ""goal_achievement"": 1.0, ""override_loan_repayment"": null}","{""Income"": 50000.0, ""Total_Expenses"": 37463.65, ""Investment"": 10000.0, ""Total_Outflow"": 47463.65, ""Actual_Savings"": 2536.35, ""Savings_Rate"": 0.051, ""Predicted_Debt_Score"": 100.0, ""Predicted_Days_To_Clear_Debt"": 28.23, ""Predicted_Investment_Score"": 14.07, ""Finance_Health_Score"": 1.0, ""Grouped_Spending"": {""UPI Spend"": 12292.41, ""Bills Spend"": 23121.44, ""Debt Spend"": 2049.8, ""Investment"": 10000.0}, ""Model_Metrics"": {""debt_r2"": 1.0, ""days_r2"": 0.913923347839316, ""investment_r2"": 0.995842557380836, ""trained_rows"": 20000}}",1.0,100.0,14.07,
18,2026-01-10T03:21:49.637523+00:00,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 1000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000.0, ""Total_Expenses"": 23000.0, ""Investment"": 150.0, ""Total_Outflow"": 23150.0, ""Actual_Savings"": 176850.0, ""Savings_Rate"": 0.884, ""Predicted_Debt_Score"": 82.31, ""Predicted_Days_To_Clear_Debt"": 71.04, ""Predicted_Investment_Score"": 50.41, ""Finance_Health_Score"": 75.74, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 1000.0, ""Investment"": 150.0}}",75.74,82.31,50.41,71.04
19,2026-01-10T03:31:09.960665+00:00,"{""income"": 200000, ""rent"": 12000, ""groceries"": 6000, ""transport"": 2000, ""entertainment"": 2000, ""investment"": 150, ""loan_repayment"": 1000, ""timely_loan_repayment"": 90, ""goal_achievement"": 75}","{""Income"": 200000.0, ""Total_Expenses"": 23000.0, ""Investment"": 150.0, ""Total_Outflow"": 23150.0, ""Actual_Savings"": 176850.0, ""Savings_Rate"": 0.884, ""Predicted_Debt_Score"": 82.31, ""Predicted_Days_To_Clear_Debt"": 71.04, ""Predicted_Investment_Score"": 50.41, ""Finance_Health_Score"": 75.74, ""Grouped_Spending"": {""UPI Spend"": 10000.0, ""Bills Spend"": 12000.0, ""Debt Spend"": 1000.0, ""Investment"": 150.0}}",75.74,82.31,50.41,71.04
